dataset,sub,ses,sample,task,tracksys,acq,nuc,voi,ce,trc,stain,rec,dir,run,mod,echo,flip,inv,mt,part,proc,hemi,space,split,recording,chunk,seg,res,den,label,desc,datatype,suffix,ext,extra_entities,root,path
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preproc,output,T1w,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_desc-preproc_T1w.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSF,,output,probseg,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-CSF_probseg.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,MNI152NLin6ASym,,,,,,,,preproc,output,T1w,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_space-MNI152NLin6ASym_desc-preproc_T1w.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonlinear,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6Sym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6Sym_mode-image_desc-nonlinear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,head,output,T1w,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_desc-head_T1w.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,output,xfm,.nii.gz,"[('from', 'MNI152NLin6Sym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6Sym_to-T1w_mode-image_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonlinear,output,xfm,.nii.gz,"[('from', 'MNI152NLin6Sym'), ('to', 'T1w'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-MNI152NLin6Sym_to-T1w_mode-image_desc-nonlinear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brain,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_desc-brain_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonlinear,output,xfm,.nii.gz,"[('from', 'T1w'), ('to', 'MNI152NLin6ASym'), ('mode', 'image')]",/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_from-T1w_to-MNI152NLin6ASym_mode-image_desc-nonlinear_xfm.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,WM,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-WM_mask.nii.gz
site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,A00040524,NFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM,,output,mask,.nii.gz,[],/ocean/projects/med250004p/shared/regression_outputs_v1.8.7/default/site-1/sub-A00040524/output/pipeline_cpac-default-pipeline,sub-A00040524/ses-NFB3/anat/sub-A00040524_ses-NFB3_label-GM_mask.nii.gz
